
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0059                          C24                               41   1      2   1   1 2           2 0 XSIG011159          (4183-2-13)
10-0059                          C29                               42   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0059                          C29                               42   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C3                                19   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C3                                19   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C6                                18   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C6                                18   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C18                               22   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C18                               22   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C19                               21   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C19                               21   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C20                               20   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C20                               20   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C21                               17   1      1   1   1 1           1 0 VCC5                (4282-15-13)
10-0061                          C21                               17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0102                          C2                                54   1      1   1   1 1           1 0 VBAT                (4282-1-13)
10-0102                          C2                                54   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0112                          C5                                68   1      1   1   1 1           1 0 XSIG020151          (4192-1-13)
10-0112                          C5                                68   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0112                          C9                                69   1      1   1   1 1           1 0 XSIG020152          (4192-2-13)
10-0112                          C9                                69   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0120                          C25                               43   1      1   1   1 1           1 0 VCC5                (4282-15-13)
10-0120                          C25                               43   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0019                          D1                                 3   1      1   1   1 2           2 0 VCC                 (43-2-13)
20-0019                          D1                                 3   1      2   2   1 1           1 0 XSIG011127          (4085-2-13)
20-0038                          D3                                39   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          D3                                39   1      2   2   1 4           4 0 XSIG020290          (4286-4-13)
20-0038                          D3                                39   1      3   3   1 3           3 0 XSIG020291          (4286-5-13)
20-0038                          D3                                39   1      4   4   1 2           2 0 XSIG020292          (4286-6-13)
20-0064                          D2                                 1   1      1   1   1 2           2 0 GND                 (43-1-13)
20-0064                          D2                                 1   1      2   2   1 1           1 0 XSIG011144          (4152-2-13)
40-0003                          U1                                74   1      1   1   1 1           1 0 XSIG011127          (4085-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0003                          U1                                74   1      2   2   1 6           6 0 XSIG011165          (4252-1-13)
40-0003                          U1                                74   1      3   3   1 5           5 0                     (0-0-0)
40-0003                          U1                                74   1      4   4   1 8           8 0 GND                 (43-1-13)
40-0003                          U1                                74   1      5   5   1 7           7 0 XSIG011140          (4085-4-13)
40-0003                          U1                                74   1      6   6   1 2           2 0 VBAT                (4282-1-13)
40-0003                          U1                                74   1      7   7   1 3           3 0 XSIG011144          (4152-2-13)
40-0003                          U1                                74   2      1   1   2 4           4 0 GND                 (43-1-13)
40-0166                          U3                                40   1      1   1   1 3           3 0 XSIG011159          (4183-2-13)
40-0166                          U3                                40   1      2   2   1 8           8 0 VBAT                (4282-1-13)
40-0166                          U3                                40   1      3   3   1 1           1 0 VCC5                (4282-15-13)
40-0166                          U3                                40   1      4   4   1 2           2 0 VCC5                (4282-15-13)
40-0166                          U3                                40   1      5   5   1 5           5 0 VBAT                (4282-1-13)
40-0166                          U3                                40   2      1   1   2 4           4 0 GND                 (43-1-13)
40-0166                          U3                                 0   3      1   1   3 6           6 1                     (0-0-0)
40-0166                          U3                                 0   3      1   1   4 7           7 1                     (0-0-0)
40-0234                          U5                                28   1      1   1   1 3           3 0 SPI3_SCK_5V         (4282-13-13)
40-0234                          U5                                28   1      2   2   1 4           4 0 SPI3_MOSI_5V        (4282-12-13)
40-0234                          U5                                28   1      3   3   1 5           5 0 SPI6_SCK_5V         (4282-14-13)
40-0234                          U5                                28   1      4   4   1 6           6 0 SPI6_MOSI_5V        (4282-16-13)
40-0234                          U5                                28   1      5   5   1 7           7 0 SPI2_SCK_5V         (4282-11-13)
40-0234                          U5                                28   1      6   6   1 8           8 0 SPI2_MOSI_5V        (4282-10-13)
40-0234                          U5                                28   1      7   7   1 9           9 0 SPI1_MOSI_5V        (4282-8-13)
40-0234                          U5                                28   1      8   8   1 10         10 0 SPI1_SCK_5V         (4282-9-13)
40-0234                          U5                                28   1      9   9   1 21         21 0 SPI3_SCK            (4152-17-13)
40-0234                          U5                                28   1     10  10   1 20         20 0 SPI3_MOSI           (4152-18-13)
40-0234                          U5                                28   1     11  11   1 19         19 0 SPI6_SCK            (4152-19-13)
40-0234                          U5                                28   1     12  12   1 18         18 0 SPI6_MOSI           (4152-20-13)
40-0234                          U5                                28   1     13  13   1 17         17 0 SPI2_SCK            (4152-14-13)
40-0234                          U5                                28   1     14  14   1 16         16 0 SPI2_MOSI           (4152-13-13)
40-0234                          U5                                28   1     15  15   1 15         15 0 SPI1_MOSI           (4152-16-13)
40-0234                          U5                                28   1     16  16   1 14         14 0 SPI1_SCK            (4152-15-13)
40-0234                          U5                                28   1     17  17   1 2           2 0 GND                 (43-1-13)
40-0234                          U5                                28   1     18  18   1 24         24 0 VCC                 (43-2-13)
40-0234                          U5                                28   1     19  19   1 23         23 0 VCC                 (43-2-13)
40-0234                          U5                                28   1     20  20   1 22         22 0 GND                 (43-1-13)
40-0234                          U5                                28   2      1   1   2 1           1 0 VCC5                (4282-15-13)
40-0234                          U5                                28   3      1   1   3 13         13 0 GND                 (43-1-13)
40-0234                          U5                                28   3      1   1   4 12         12 0 GND                 (43-1-13)
40-0234                          U5                                28   3      1   1   5 11         11 0 GND                 (43-1-13)
40-0301                          U6                                73   1      1   1   1 7           8 0                     (0-0-0)
40-0301                          U6                                73   1      2   2   1 21         22 0                     (0-0-0)
40-0301                          U6                                73   1      3   3   1 11         12 0 GND                 (43-1-13)
40-0301                          U6                                73   1      4   4   1 12         13 0                     (0-0-0)
40-0301                          U6                                73   1      5   5   1 10         11 0 XSIG030283          (4327-1-13)
40-0301                          U6                                73   1      6   6   1 1           2 0 VCC                 (43-2-13)
40-0301                          U6                                73   1      7   7   1 20         21 0 GND                 (43-1-13)
40-0301                          U6                                73   1      8   8   1 9          10 0 GND                 (43-1-13)
40-0301                          U6                                73   1      9   9   1 22         23 0 VCC                 (43-2-13)
40-0301                          U6                                73   1     10  10   1 24         25 0 AHRS_SDA            (4152-22-13)
40-0301                          U6                                73   1     11  11   1 23         24 0 AHRS_SCL            (4152-21-13)
40-0301                          U6                                73   1     12  12   1 8           9 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0301                          U6                                73   2      1   1   2 13         14 0 VCC                 (43-2-13)
40-0301                          U6                                73   3      1   1   3 EXP         1 0 GND                 (43-1-13)
40-0301                          U6                                73   3      1   1   4 18         19 0 GND                 (43-1-13)
40-0301                          U6                                 0   4      1   1   5 2           3 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1   6 3           4 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1   7 4           5 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1   8 5           6 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1   9 6           7 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1  10 14         15 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1  11 15         16 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1  12 16         17 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1  13 17         18 1                     (0-0-0)
40-0301                          U6                                 0   4      1   1  14 19         20 1                     (0-0-0)
40-0358                          U2                                23   1      1   1   1 94         94 0 XSIG020259          (4282-2-13)
40-0358                          U2                                23   1      2   2   1 90         90 0                     (0-0-0)
40-0358                          U2                                23   1      3   3   1 76         76 0 SWCLK               (4152-9-13)
40-0358                          U2                                23   1      4   4   1 77         77 0                     (0-0-0)
40-0358                          U2                                23   1      5   5   1 89         89 0 SPI6_SCK            (4152-19-13)
40-0358                          U2                                23   1      6   6   1 72         72 0 SWDIO               (4152-10-13)
40-0358                          U2                                23   1      7   7   1 22         22 0 STM_2_ESP           (4152-23-13)
40-0358                          U2                                23   1      8   8   1 23         23 0 ESP_2_STM           (4152-24-13)
40-0358                          U2                                23   1      9   9   1 24         24 0                     (0-0-0)
40-0358                          U2                                23   1     10  10   1 25         25 0                     (0-0-0)
40-0358                          U2                                23   1     11  11   1 28         28 0 XSIG020304          (4474-1-13)
40-0358                          U2                                23   1     12  12   1 29         29 0 SPI1_SCK            (4152-15-13)
