
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0081                          J8                                61   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J8                                61   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J8                                61   1      9   9   1 10         10 0 nRST                (4174-3-13)
70-0081                          J8                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0085                          J4                                 4   1      1   1   1 1           1 0 XSIG020304          (4474-1-13)
70-0085                          J5                                 5   1      1   1   1 1           1 0 XSIG020305          (4474-2-13)
70-0085                          J6                                 6   1      1   1   1 1           1 0 XSIG020306          (4474-3-13)
70-0085                          J7                                 7   1      1   1   1 1           1 0 XSIG020307          (4474-4-13)
70-0085                          J10                                8   1      1   1   1 1           1 0 XSIG020308          (4474-5-13)
70-0085                          J11                                9   1      1   1   1 1           1 0 XSIG020309          (4474-6-13)
70-0085                          J12                               10   1      1   1   1 1           1 0 XSIG020310          (4483-1-13)
70-0085                          J13                               11   1      1   1   1 1           1 0 XSIG020311          (4483-2-13)
70-0085                          J14                               12   1      1   1   1 1           1 0 XSIG020312          (4483-3-13)
70-0085                          J15                               13   1      1   1   1 1           1 0 XSIG020313          (4483-4-13)
70-0085                          J16                               14   1      1   1   1 1           1 0 XSIG020314          (4483-5-13)
70-0085                          J17                               15   1      1   1   1 1           1 0 XSIG020315          (4491-1-13)
70-0111                          J9                                26   1      1   1   1 1           1 0 AHRS_SDA            (4152-22-13)
70-0111                          J9                                26   1      2   2   1 2           2 0 AHRS_SCL            (4152-21-13)
70-0111                          J9                                26   1      3   3   1 3           3 0                     (0-0-0)
70-0111                          J9                                26   1      4   4   1 4           4 0 VCC                 (43-2-13)
70-0111                          J9                                26   1      5   5   1 5           5 0 GND                 (43-1-13)
80-0073                          U4                                27   1      1   1   1 20         20 0                     (0-0-0)
80-0073                          U4                                27   1      2   2   1 2           2 0                     (0-0-0)
80-0073                          U4                                27   1      3   3   1 18         18 0                     (0-0-0)
80-0073                          U4                                27   1      4   4   1 1           1 0                     (0-0-0)
80-0073                          U4                                27   1      5   5   1 25         25 0                     (0-0-0)
80-0073                          U4                                27   1      6   6   1 24         24 0 XSIG030263          (4282-21-13)
80-0073                          U4                                27   1      7   7   1 26         26 0                     (0-0-0)
80-0073                          U4                                27   1      8   8   1 29         29 0                     (0-0-0)
80-0073                          U4                                27   1      9   9   1 7           7 0 XSIG030260          (4282-18-13)
80-0073                          U4                                27   1     10  10   1 5           5 0 XSIG030261          (4282-19-13)
80-0073                          U4                                27   1     11  11   1 8           8 0 XSIG030259          (4282-17-13)
80-0073                          U4                                27   1     12  12   1 23         23 0 XSIG030262          (4282-20-13)
80-0073                          U4                                27   1     13  13   1 27         27 0 XSIG030264          (4282-22-13)
80-0073                          U4                                27   1     14  14   1 28         28 0 XSIG030265          (4282-23-13)
80-0073                          U4                                27   1     15  15   1 30         30 0                     (0-0-0)
80-0073                          U4                                27   1     16  16   1 31         31 0                     (0-0-0)
80-0073                          U4                                27   1     17  17   1 33         33 0                     (0-0-0)
80-0073                          U4                                27   1     18  18   1 36         36 0                     (0-0-0)
80-0073                          U4                                27   1     19  19   1 37         37 0                     (0-0-0)
80-0073                          U4                                27   1     20  20   1 11         11 0                     (0-0-0)
80-0073                          U4                                27   1     21  21   1 10         10 0                     (0-0-0)
80-0073                          U4                                27   1     22  22   1 9           9 0                     (0-0-0)
80-0073                          U4                                27   1     23  23   1 13         13 0                     (0-0-0)
80-0073                          U4                                27   1     24  24   1 12         12 0                     (0-0-0)
80-0073                          U4                                27   1     25  25   1 15         15 0                     (0-0-0)
80-0073                          U4                                27   1     26  26   1 14         14 0                     (0-0-0)
80-0073                          U4                                27   1     27  27   1 34         34 0                     (0-0-0)
80-0073                          U4                                27   1     28  28   1 22         22 0                     (0-0-0)
80-0073                          U4                                27   1     29  29   1 21         21 0                     (0-0-0)
80-0073                          U4                                27   1     30  30   1 4           4 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0073                          U4                                27   1     31  31   1 3           3 0                     (0-0-0)
80-0073                          U4                                27   1     32  32   1 16         16 0                     (0-0-0)
80-0073                          U4                                27   1     33  33   1 17         17 0                     (0-0-0)
80-0073                          U4                                27   1     34  34   1 35         35 0                     (0-0-0)
80-0073                          U4                                27   1     35  35   1 19         19 0 VCC                 (43-2-13)
80-0073                          U4                                27   2      1   1   2 6           6 0 GND                 (43-1-13)
80-0073                          U4                                27   2      1   1   3 32         32 0 GND                 (43-1-13)
80-0073                          U4                                27   2      1   1   4 38         38 0 GND                 (43-1-13)
83-0028                          QZ1                               62   1      1   1   1 1           1 0 XSIG020283          (4282-6-13)
83-0028                          QZ1                               62   1      2   2   1 3           3 0 XSIG020285          (4282-7-13)
83-0028                          QZ1                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0028                          QZ1                                0   2      1   1   3 4           4 1                     (0-0-0)
