
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D9                                77   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D9                                77   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D10                               74   1      1   1   1 2           2 0 XSIG012346          (4247-17-13)
20-0075                          D10                               74   1      2   2   1 5           5 0 CO10                (4214-13-13)
20-0075                          D10                               74   1      3   3   1 1           1 0 XSIG012347          (4247-18-13)
20-0075                          D10                               74   1      4   4   1 4           4 0 DO10                (4214-14-13)
20-0075                          D10                               74   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D10                               74   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D11                               73   1      1   1   1 2           2 0 CO10                (4214-13-13)
20-0075                          D11                               73   1      2   2   1 5           5 0 XSIG012356          (4247-19-13)
20-0075                          D11                               73   1      3   3   1 1           1 0 DO10                (4214-14-13)
20-0075                          D11                               73   1      4   4   1 4           4 0 XSIG012357          (4247-20-13)
20-0075                          D11                               73   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D11                               73   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D12                               76   1      1   1   1 2           2 0 XSIG012356          (4247-19-13)
20-0075                          D12                               76   1      2   2   1 5           5 0 XSIG012374          (4247-21-13)
20-0075                          D12                               76   1      3   3   1 1           1 0 XSIG012357          (4247-20-13)
20-0075                          D12                               76   1      4   4   1 4           4 0 XSIG012375          (4247-22-13)
20-0075                          D12                               76   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D12                               76   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D13                               75   1      1   1   1 2           2 0 XSIG012374          (4247-21-13)
20-0075                          D13                               75   1      2   2   1 5           5 0 XSIG012376          (4247-23-13)
20-0075                          D13                               75   1      3   3   1 1           1 0 XSIG012375          (4247-22-13)
20-0075                          D13                               75   1      4   4   1 4           4 0 XSIG012377          (4247-24-13)
20-0075                          D13                               75   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D13                               75   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D14                               63   1      1   1   1 2           2 0 XSIG012376          (4247-23-13)
20-0075                          D14                               63   1      2   2   1 5           5 0 XSIG012378          (4247-25-13)
20-0075                          D14                               63   1      3   3   1 1           1 0 XSIG012377          (4247-24-13)
20-0075                          D14                               63   1      4   4   1 4           4 0 XSIG012379          (4247-26-13)
20-0075                          D14                               63   2      1   1   2 6           6 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D14                               63   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D15                               62   1      1   1   1 2           2 0 XSIG012378          (4247-25-13)
20-0075                          D15                               62   1      2   2   1 5           5 0 XSIG012380          (4247-27-13)
20-0075                          D15                               62   1      3   3   1 1           1 0 XSIG012379          (4247-26-13)
20-0075                          D15                               62   1      4   4   1 4           4 0 XSIG012381          (4247-28-13)
20-0075                          D15                               62   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D15                               62   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D16                               65   1      1   1   1 2           2 0 XSIG012380          (4247-27-13)
20-0075                          D16                               65   1      2   2   1 5           5 0 XSIG012382          (4247-29-13)
20-0075                          D16                               65   1      3   3   1 1           1 0 XSIG012381          (4247-28-13)
20-0075                          D16                               65   1      4   4   1 4           4 0 XSIG012383          (4247-30-13)
20-0075                          D16                               65   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D16                               65   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D17                               64   1      1   1   1 2           2 0 XSIG012382          (4247-29-13)
20-0075                          D17                               64   1      2   2   1 5           5 0 XSIG012384          (4247-31-13)
20-0075                          D17                               64   1      3   3   1 1           1 0 XSIG012383          (4247-30-13)
20-0075                          D17                               64   1      4   4   1 4           4 0 XSIG012385          (4247-32-13)
20-0075                          D17                               64   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D17                               64   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D18                               57   1      1   1   1 2           2 0 XSIG012384          (4247-31-13)
20-0075                          D18                               57   1      2   2   1 5           5 0 XSIG012386          (4247-33-13)
20-0075                          D18                               57   1      3   3   1 1           1 0 XSIG012385          (4247-32-13)
20-0075                          D18                               57   1      4   4   1 4           4 0 XSIG012387          (4247-34-13)
20-0075                          D18                               57   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D18                               57   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D19                               56   1      1   1   1 2           2 0 XSIG012386          (4247-33-13)
20-0075                          D19                               56   1      2   2   1 5           5 0 XSIG012388          (4247-35-13)
20-0075                          D19                               56   1      3   3   1 1           1 0 XSIG012387          (4247-34-13)
20-0075                          D19                               56   1      4   4   1 4           4 0 XSIG012389          (4247-36-13)
20-0075                          D19                               56   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D19                               56   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D20                               55   1      1   1   1 2           2 0 XSIG012388          (4247-35-13)
20-0075                          D20                               55   1      2   2   1 5           5 0 CO20                (4214-33-13)
20-0075                          D20                               55   1      3   3   1 1           1 0 XSIG012389          (4247-36-13)
20-0075                          D20                               55   1      4   4   1 4           4 0 DO20                (4214-34-13)
20-0075                          D20                               55   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D20                               55   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D21                               54   1      1   1   1 2           2 0 CO20                (4214-33-13)
20-0075                          D21                               54   1      2   2   1 5           5 0 XSIG012398          (4247-37-13)
20-0075                          D21                               54   1      3   3   1 1           1 0 DO20                (4214-34-13)
20-0075                          D21                               54   1      4   4   1 4           4 0 XSIG012399          (4247-38-13)
20-0075                          D21                               54   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D21                               54   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D22                               61   1      1   1   1 2           2 0 XSIG012398          (4247-37-13)
20-0075                          D22                               61   1      2   2   1 5           5 0 XSIG012416          (4247-39-13)
20-0075                          D22                               61   1      3   3   1 1           1 0 XSIG012399          (4247-38-13)
20-0075                          D22                               61   1      4   4   1 4           4 0 XSIG012417          (4247-40-13)
20-0075                          D22                               61   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D22                               61   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D23                               60   1      1   1   1 2           2 0 XSIG012416          (4247-39-13)
20-0075                          D23                               60   1      2   2   1 5           5 0 XSIG012418          (4247-41-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D23                               60   1      3   3   1 1           1 0 XSIG012417          (4247-40-13)
20-0075                          D23                               60   1      4   4   1 4           4 0 XSIG012419          (4247-42-13)
20-0075                          D23                               60   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D23                               60   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D24                               59   1      1   1   1 2           2 0 XSIG012418          (4247-41-13)
20-0075                          D24                               59   1      2   2   1 5           5 0 XSIG012420          (4247-43-13)
20-0075                          D24                               59   1      3   3   1 1           1 0 XSIG012419          (4247-42-13)
20-0075                          D24                               59   1      4   4   1 4           4 0 XSIG012421          (4247-44-13)
20-0075                          D24                               59   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D24                               59   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D25                               58   1      1   1   1 2           2 0 XSIG012420          (4247-43-13)
20-0075                          D25                               58   1      2   2   1 5           5 0 XSIG012422          (4247-45-13)
20-0075                          D25                               58   1      3   3   1 1           1 0 XSIG012421          (4247-44-13)
20-0075                          D25                               58   1      4   4   1 4           4 0 XSIG012423          (4247-46-13)
20-0075                          D25                               58   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D25                               58   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D26                               51   1      1   1   1 2           2 0 XSIG012422          (4247-45-13)
20-0075                          D26                               51   1      2   2   1 5           5 0 XSIG012424          (4247-47-13)
20-0075                          D26                               51   1      3   3   1 1           1 0 XSIG012423          (4247-46-13)
20-0075                          D26                               51   1      4   4   1 4           4 0 XSIG012425          (4247-48-13)
