
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D48                               31   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D49                               30   1      1   1   1 2           2 0 XSIG012512          (4247-87-13)
20-0075                          D49                               30   1      2   2   1 5           5 0 XSIG012514          (4247-89-13)
20-0075                          D49                               30   1      3   3   1 1           1 0 XSIG012513          (4247-88-13)
20-0075                          D49                               30   1      4   4   1 4           4 0 XSIG012515          (4247-90-13)
20-0075                          D49                               30   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D49                               30   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D50                               33   1      1   1   1 2           2 0 XSIG012514          (4247-89-13)
20-0075                          D50                               33   1      2   2   1 5           5 0 CO50                (4214-93-13)
20-0075                          D50                               33   1      3   3   1 1           1 0 XSIG012515          (4247-90-13)
20-0075                          D50                               33   1      4   4   1 4           4 0 DO50                (4214-94-13)
20-0075                          D50                               33   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D50                               33   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D51                               32   1      1   1   1 2           2 0 CO50                (4214-93-13)
20-0075                          D51                               32   1      2   2   1 5           5 0 XSIG012524          (4247-91-13)
20-0075                          D51                               32   1      3   3   1 1           1 0 DO50                (4214-94-13)
20-0075                          D51                               32   1      4   4   1 4           4 0 XSIG012525          (4247-92-13)
20-0075                          D51                               32   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D51                               32   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D52                               25   1      1   1   1 2           2 0 XSIG012524          (4247-91-13)
20-0075                          D52                               25   1      2   2   1 5           5 0 XSIG012542          (4247-93-13)
20-0075                          D52                               25   1      3   3   1 1           1 0 XSIG012525          (4247-92-13)
20-0075                          D52                               25   1      4   4   1 4           4 0 XSIG012543          (4247-94-13)
20-0075                          D52                               25   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D52                               25   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D53                               24   1      1   1   1 2           2 0 XSIG012542          (4247-93-13)
20-0075                          D53                               24   1      2   2   1 5           5 0 XSIG012544          (4247-95-13)
20-0075                          D53                               24   1      3   3   1 1           1 0 XSIG012543          (4247-94-13)
20-0075                          D53                               24   1      4   4   1 4           4 0 XSIG012545          (4247-96-13)
20-0075                          D53                               24   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D53                               24   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D54                               27   1      1   1   1 2           2 0 XSIG012544          (4247-95-13)
20-0075                          D54                               27   1      2   2   1 5           5 0 XSIG012546          (4247-97-13)
20-0075                          D54                               27   1      3   3   1 1           1 0 XSIG012545          (4247-96-13)
20-0075                          D54                               27   1      4   4   1 4           4 0 XSIG012547          (4247-98-13)
20-0075                          D54                               27   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D54                               27   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D55                               26   1      1   1   1 2           2 0 XSIG012546          (4247-97-13)
20-0075                          D55                               26   1      2   2   1 5           5 0 XSIG012548          (4247-99-13)
20-0075                          D55                               26   1      3   3   1 1           1 0 XSIG012547          (4247-98-13)
20-0075                          D55                               26   1      4   4   1 4           4 0 XSIG012549          (4247-100-13)
20-0075                          D55                               26   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D55                               26   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D56                               23   1      1   1   1 2           2 0 XSIG012548          (4247-99-13)
20-0075                          D56                               23   1      2   2   1 5           5 0 XSIG012550          (4247-101-13)
20-0075                          D56                               23   1      3   3   1 1           1 0 XSIG012549          (4247-100-13)
20-0075                          D56                               23   1      4   4   1 4           4 0 XSIG012551          (4247-102-13)
20-0075                          D56                               23   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D56                               23   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D57                               22   1      1   1   1 2           2 0 XSIG012550          (4247-101-13)
20-0075                          D57                               22   1      2   2   1 5           5 0 XSIG012552          (4247-103-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D57                               22   1      3   3   1 1           1 0 XSIG012551          (4247-102-13)
20-0075                          D57                               22   1      4   4   1 4           4 0 XSIG012553          (4247-104-13)
20-0075                          D57                               22   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D57                               22   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D58                               21   1      1   1   1 2           2 0 XSIG012552          (4247-103-13)
20-0075                          D58                               21   1      2   2   1 5           5 0 XSIG012554          (4247-105-13)
20-0075                          D58                               21   1      3   3   1 1           1 0 XSIG012553          (4247-104-13)
20-0075                          D58                               21   1      4   4   1 4           4 0 XSIG012555          (4247-106-13)
20-0075                          D58                               21   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D58                               21   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D59                               20   1      1   1   1 2           2 0 XSIG012554          (4247-105-13)
20-0075                          D59                               20   1      2   2   1 5           5 0 XSIG012556          (4247-107-13)
20-0075                          D59                               20   1      3   3   1 1           1 0 XSIG012555          (4247-106-13)
20-0075                          D59                               20   1      4   4   1 4           4 0 XSIG012557          (4247-108-13)
20-0075                          D59                               20   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D59                               20   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D60                               19   1      1   1   1 2           2 0 XSIG012556          (4247-107-13)
20-0075                          D60                               19   1      2   2   1 5           5 0 CO60                (4214-113-13)
20-0075                          D60                               19   1      3   3   1 1           1 0 XSIG012557          (4247-108-13)
20-0075                          D60                               19   1      4   4   1 4           4 0 DO60                (4214-114-13)
20-0075                          D60                               19   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D60                               19   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D61                               18   1      1   1   1 2           2 0 CO60                (4214-113-13)
20-0075                          D61                               18   1      2   2   1 5           5 0 XSIG012566          (4247-109-13)
20-0075                          D61                               18   1      3   3   1 1           1 0 DO60                (4214-114-13)
20-0075                          D61                               18   1      4   4   1 4           4 0 XSIG012567          (4247-110-13)
20-0075                          D61                               18   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D61                               18   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D62                               17   1      1   1   1 2           2 0 XSIG012566          (4247-109-13)
20-0075                          D62                               17   1      2   2   1 5           5 0 XSIG012584          (4247-111-13)
20-0075                          D62                               17   1      3   3   1 1           1 0 XSIG012567          (4247-110-13)
20-0075                          D62                               17   1      4   4   1 4           4 0 XSIG012585          (4247-112-13)
20-0075                          D62                               17   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D62                               17   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D63                               16   1      1   1   1 2           2 0 XSIG012584          (4247-111-13)
20-0075                          D63                               16   1      2   2   1 5           5 0 XSIG012586          (4247-113-13)
20-0075                          D63                               16   1      3   3   1 1           1 0 XSIG012585          (4247-112-13)
20-0075                          D63                               16   1      4   4   1 4           4 0 XSIG012587          (4247-114-13)
20-0075                          D63                               16   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D63                               16   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D64                               15   1      1   1   1 2           2 0 XSIG012586          (4247-113-13)
20-0075                          D64                               15   1      2   2   1 5           5 0 XSIG012588          (4247-115-13)
20-0075                          D64                               15   1      3   3   1 1           1 0 XSIG012587          (4247-114-13)
20-0075                          D64                               15   1      4   4   1 4           4 0 XSIG012589          (4247-116-13)
20-0075                          D64                               15   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D64                               15   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D65                               14   1      1   1   1 2           2 0 XSIG012588          (4247-115-13)
20-0075                          D65                               14   1      2   2   1 5           5 0 XSIG012590          (4247-117-13)
20-0075                          D65                               14   1      3   3   1 1           1 0 XSIG012589          (4247-116-13)
20-0075                          D65                               14   1      4   4   1 4           4 0 XSIG012591          (4247-118-13)
20-0075                          D65                               14   2      1   1   2 6           6 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D65                               14   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D66                                2   1      1   1   1 2           2 0 XSIG012590          (4247-117-13)
20-0075                          D66                                2   1      2   2   1 5           5 0 XSIG012592          (4247-119-13)
20-0075                          D66                                2   1      3   3   1 1           1 0 XSIG012591          (4247-118-13)
20-0075                          D66                                2   1      4   4   1 4           4 0 XSIG012593          (4247-120-13)
20-0075                          D66                                2   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D66                                2   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D67                                1   1      1   1   1 2           2 0 XSIG012592          (4247-119-13)
20-0075                          D67                                1   1      2   2   1 5           5 0 XSIG012594          (4247-121-13)
20-0075                          D67                                1   1      3   3   1 1           1 0 XSIG012593          (4247-120-13)
20-0075                          D67                                1   1      4   4   1 4           4 0 XSIG012595          (4247-122-13)
20-0075                          D67                                1   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D67                                1   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D68                                4   1      1   1   1 2           2 0 XSIG012594          (4247-121-13)
20-0075                          D68                                4   1      2   2   1 5           5 0 XSIG012596          (4247-123-13)
20-0075                          D68                                4   1      3   3   1 1           1 0 XSIG012595          (4247-122-13)
20-0075                          D68                                4   1      4   4   1 4           4 0 XSIG012597          (4247-124-13)
20-0075                          D68                                4   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D68                                4   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D69                                3   1      1   1   1 2           2 0 XSIG012596          (4247-123-13)
20-0075                          D69                                3   1      2   2   1 5           5 0 XSIG012598          (4247-125-13)
20-0075                          D69                                3   1      3   3   1 1           1 0 XSIG012597          (4247-124-13)
20-0075                          D69                                3   1      4   4   1 4           4 0 XSIG012599          (4247-126-13)
20-0075                          D69                                3   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D69                                3   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D70                                6   1      1   1   1 2           2 0 XSIG012598          (4247-125-13)
20-0075                          D70                                6   1      2   2   1 5           5 0 CO70                (4214-133-13)
20-0075                          D70                                6   1      3   3   1 1           1 0 XSIG012599          (4247-126-13)
20-0075                          D70                                6   1      4   4   1 4           4 0 DO70                (4214-134-13)
20-0075                          D70                                6   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D70                                6   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D71                                5   1      1   1   1 2           2 0 CO70                (4214-133-13)
20-0075                          D71                                5   1      2   2   1 5           5 0 XSIG012608          (4247-127-13)
20-0075                          D71                                5   1      3   3   1 1           1 0 DO70                (4214-134-13)
20-0075                          D71                                5   1      4   4   1 4           4 0 XSIG012609          (4247-128-13)
20-0075                          D71                                5   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D71                                5   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D72                               10   1      1   1   1 2           2 0 XSIG012608          (4247-127-13)
20-0075                          D72                               10   1      2   2   1 5           5 0 XSIG012626          (4247-129-13)
20-0075                          D72                               10   1      3   3   1 1           1 0 XSIG012609          (4247-128-13)
20-0075                          D72                               10   1      4   4   1 4           4 0 XSIG012627          (4247-130-13)
20-0075                          D72                               10   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D72                               10   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D73                                9   1      1   1   1 2           2 0 XSIG012626          (4247-129-13)
20-0075                          D73                                9   1      2   2   1 5           5 0 XSIG012628          (4247-131-13)
20-0075                          D73                                9   1      3   3   1 1           1 0 XSIG012627          (4247-130-13)
20-0075                          D73                                9   1      4   4   1 4           4 0 XSIG012629          (4247-132-13)
20-0075                          D73                                9   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D73                                9   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D74                                8   1      1   1   1 2           2 0 XSIG012628          (4247-131-13)
20-0075                          D74                                8   1      2   2   1 5           5 0 XSIG012630          (4247-133-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D74                                8   1      3   3   1 1           1 0 XSIG012629          (4247-132-13)
20-0075                          D74                                8   1      4   4   1 4           4 0 XSIG012631          (4247-134-13)
20-0075                          D74                                8   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D74                                8   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D75                                7   1      1   1   1 2           2 0 XSIG012630          (4247-133-13)
20-0075                          D75                                7   1      2   2   1 5           5 0 XSIG012632          (4247-135-13)
20-0075                          D75                                7   1      3   3   1 1           1 0 XSIG012631          (4247-134-13)
20-0075                          D75                                7   1      4   4   1 4           4 0 XSIG012633          (4247-136-13)
20-0075                          D75                                7   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D75                                7   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D76                               12   1      1   1   1 2           2 0 XSIG012632          (4247-135-13)
20-0075                          D76                               12   1      2   2   1 5           5 0 XSIG012634          (4247-137-13)
20-0075                          D76                               12   1      3   3   1 1           1 0 XSIG012633          (4247-136-13)
20-0075                          D76                               12   1      4   4   1 4           4 0 XSIG012635          (4247-138-13)
20-0075                          D76                               12   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D76                               12   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D77                               11   1      1   1   1 2           2 0 XSIG012634          (4247-137-13)
20-0075                          D77                               11   1      2   2   1 5           5 0 XSIG012636          (4247-139-13)
20-0075                          D77                               11   1      3   3   1 1           1 0 XSIG012635          (4247-138-13)
20-0075                          D77                               11   1      4   4   1 4           4 0 XSIG012637          (4247-140-13)
20-0075                          D77                               11   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D77                               11   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D78                               13   1      1   1   1 2           2 0 XSIG012636          (4247-139-13)
20-0075                          D78                               13   1      2   2   1 5           5 0 CO78                (4214-155-13)
20-0075                          D78                               13   1      3   3   1 1           1 0 XSIG012637          (4247-140-13)
20-0075                          D78                               13   1      4   4   1 4           4 0 DO78                (4214-156-13)
20-0075                          D78                               13   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D78                               13   3      1   1   3 3           3 0 GND                 (43-1-13)
40-0003                          U1                                86   1      1   1   1 1           1 0 XSIG020011          (4214-161-13)
40-0003                          U1                                86   1      2   2   1 6           6 0 XSIG020089          (4335-1-13)
40-0003                          U1                                86   1      3   3   1 5           5 0                     (0-0-0)
40-0003                          U1                                86   1      4   4   1 8           8 0 GND                 (43-1-13)
40-0003                          U1                                86   1      5   5   1 7           7 0 XSIG020005          (4214-159-13)
40-0003                          U1                                86   1      6   6   1 2           2 0 XSIG020062          (4308-1-13)
40-0003                          U1                                86   1      7   7   1 3           3 0 XSIG020066          (4247-142-13)
40-0003                          U1                                86   2      1   1   2 4           4 0 GND                 (43-1-13)
50-0044                          L1                                89   1      1   1   1 1           1 0 XSIG020066          (4247-142-13)
50-0044                          L1                                89   1      2   2   1 2           2 0 VCC                 (43-2-13)
70-0014                          J2                                82   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J2                                82   1      2   2   1 2           2 0 CO78                (4214-155-13)
70-0014                          J2                                82   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J2                                82   1      4   4   1 4           4 0 DO78                (4214-156-13)
70-0014                          J3                                83   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0014                          J3                                83   1      2   2   1 2           2 0 CI1                 (4214-157-13)
70-0014                          J3                                83   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0014                          J3                                83   1      4   4   1 4           4 0 DI1                 (4214-158-13)
70-0086                          J1                                92   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J1                                92   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J1                                92   1      3   3   1 1           3 0 XSIG020062          (4308-1-13)
70-0086                          J1                                92   1      4   4   1 2           4 0 GND                 (43-1-13)
