RefDesignator	X	Y	Rot	PartNumber	Description	TopCell	Side
"L2"	24,781	24,057	270	"50-0038"	"Inductor blindée 10uH, 20%, 4.9A, 15MHz, 0.047ohms, Coilcraft XAL5050-103MEC, boitier 5.48x5.28"	"XAL50"	"TOP"
"QZ1"	4,247	44,273	270	"81-0013"	"Quartz 8 MHz, +/- 30ppm, 40 ohms, 18pF, case HC49SMD"	"SM49US"	"TOP"
"R13"	13,957	21,806	180	"00-0033"	"Resistor 20 ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R32"	17,741	30,029	180	"00-0033"	"Resistor 20 ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R31"	24,494	30,093	180	"00-0033"	"Resistor 20 ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R8"	7,411	10,647	270	"00-0074"	"Resistor 1.0k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R9"	8,134	29,203	180	"00-0074"	"Resistor 1.0k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R18"	22,232	17,977	180	"00-0074"	"Resistor 1.0k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R16"	17,917	44,804	270	"00-0078"	"Resistor 1.5k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R5"	16,23	41,01	90	"00-0090"	"Resistor 4.7k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R3"	14,325	41,021	90	"00-0090"	"Resistor 4.7k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R11"	4,74	51,637	270	"00-0098"	"Resistor 10k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R30"	29,123	29,749	90	"00-0100"	"Resistor 12k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R14"	30,917	32,629	270	"00-0110"	"Resistor 33k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R26"	27,997	23,144	180	"00-0129"	"Resistor 200k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R27"	22,241	14,354	0	"00-0129"	"Resistor 200k ohms / 5% / case 0603"	"R0603"	"BOTTOM"
"R1"	17,87	17,969	180	"01-0289"	"Resistor 1.00k ohms / 1% / case 0603"	"R0603"	"BOTTOM"
"R12"	12,715	19,167	180	"01-0289"	"Resistor 1.00k ohms / 1% / case 0603"	"R0603"	"BOTTOM"
"R20"	16,865	6,551	180	"01-0385"	"Resistor 10.0k ohms / 1% / case 0603"	"R0603"	"BOTTOM"
"R29"	27,32	14,26	0	"01-0393"	"Resistor 12.1k ohms / 1% / case 0603"	"R0603"	"TOP"
"R22"	13,789	6,551	0	"01-0431"	"Resistor 30.1k ohms / 1% / case 0603"	"R0603"	"BOTTOM"
"R23"	27,972	19,473	180	"01-0435"	"Resistor 33.2k ohms / 1% / case 0603"	"R0603"	"TOP"
"R25"	22,241	16,154	180	"01-0532"	"Resistor 340k ohms / 1% / case 0603"	"R0603"	"BOTTOM"
"R10"	11,84	53,009	180	"02-0083"	"Resistor 2.4k ohms / 1% / case 0402"	"R0402"	"BOTTOM"
"R4"	11,84	51,796	180	"02-0083"	"Resistor 2.4k ohms / 1% / case 0402"	"R0402"	"BOTTOM"
"R19"	16,355	5,019	0	"02-0098"	"Resistor 10k ohms / 1% / case 0402"	"R0402"	"BOTTOM"
"Q1"	11,983	24,854	0	"30-0004"	"Basic N-Channel MOSFET, 2N7002, case SOT23"	"SOT23"	"BOTTOM"
"Q3"	18,493	21,11	0	"30-0004"	"Basic N-Channel MOSFET, 2N7002, case SOT23"	"SOT23"	"BOTTOM"
"Q4"	15,583	24,866	0	"30-0019"	"N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23"	"SOT23"	"BOTTOM"
"Q8"	25,189	32,697	0	"30-0019"	"N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23"	"SOT23"	"BOTTOM"
"Q9"	18,436	32,687	0	"30-0019"	"N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23"	"SOT23"	"BOTTOM"
"SW1"	2,118	52,472	270	"80-0035"	"Button Switch latéral / 2 pins / SMD / Omron B3U-3000P"	"B3U_3000P"	"BOTTOM"
